"city name","country name","most active airport","long. most active airport","lat. most active airport","number of routes","number incoming flights","number outcoming flights","number incoming domestic flights","number outcoming domestic flights","number incoming international flights","number outcoming international flights","only domestic flights","average distance","max. distance","airportCode"
Bangor,United States,Bangor Intl,-68.714,45.345,16,8,8,8,8,0,0,1,1343,2347,BGR
Kununurra,Australia,Kununurra,129.179,-15.631,16,8,9,8,8,0,0,1,1052,2211,KNX
Toyama,Japan,Toyama,137.312,37.08,16,8,9,3,3,5,5,0,1025,1520,TOY
Jining,China,Jining Airport ,116.888,35.695,16,8,9,8,8,0,0,1,806,1378,JNG
Karlovy Vary,Czech Republic,Karlovy Vary,13.524,50.338,16,8,8,0,0,8,8,0,2175,3162,KLV
Hilo,United States,Hilo Intl,-154.415,20.202,16,8,8,8,8,0,0,1,2073,3905,ITO
Ji An,China,Jing Gang Shan Airport,115.229,27.499,16,8,8,8,8,0,0,1,750,1413,JGS
Dayong,China,Dayong Airport,110.738,29.171,16,8,9,8,8,0,0,1,913,1344,DYG
Norwich,United Kingdom,Norwich,1.471,53.126,16,8,9,5,5,3,3,0,689,3143,NWI
Aalborg,Denmark,Aalborg,10.415,57.154,16,8,8,3,3,5,5,0,787,3747,AAL
Vaasa,Finland,Vaasa,22.27,63.084,16,8,9,2,2,6,6,0,382,629,VAA
Bissau,Guinea-Bissau,Osvaldo Vieira International Airport,-15.423,12.491,16,8,9,0,0,8,8,0,1073,3056,OXB
Missoula,United States,Missoula Intl,-113.485,47.527,16,8,8,8,8,0,0,1,1174,1602,MSO
Great Falls,United States,Great Falls Intl,-110.952,47.803,16,8,8,8,8,0,0,1,991,1589,GTF
Dillingham,United States,Dillingham,-158.176,59.074,16,8,9,8,8,0,0,1,249,514,HDH
Palembang,Indonesia,Sultan Mahmud Badaruddin Ii,105.166,-2.831,16,8,9,4,4,4,4,0,475,752,PLM
Krabi,Thailand,Krabi,99.647,8.159,16,8,8,6,6,2,2,0,585,917,KBV
Sibu,Malaysia,Sibu,112.642,2.436,16,8,9,8,8,0,0,1,596,1165,SBW
Setif,Algeria,Ain Arnat Airport,5.54,36.296,16,8,9,1,1,7,7,0,1031,1430,QSF
Annaba,Algeria,Annaba,8.348,37.37,16,8,8,2,2,6,6,0,981,1367,AAE
Mulhouse,France,Bale Mulhouse,7.883,47.982,16,8,8,3,3,5,5,0,1022,1490,MLH
Figari,France,Sud Corse,9.162,41.834,16,8,8,8,8,0,0,1,483,935,FSC
Kinmen,Taiwan,Shang Yi,118.598,24.713,16,8,8,8,8,0,0,1,264,285,KNH
Palmas,Brazil,Palmas,-47.922,-9.737,16,8,8,8,8,0,0,1,932,1493,PMW
Juazeiro Do Norte,Brazil,Orlando Bezerra de Menezes Airport,-38.784,-6.699,16,8,8,8,8,0,0,1,937,1980,JDO
